Date;GE;VD;ZH
2020-02-25;0;;
2020-02-26;1;;
2020-02-27;1;;2
2020-02-28;5;;2
2020-02-29;9;;6
2020-03-01;10;;7
2020-03-02;11;;10
2020-03-03;14;;13
2020-03-04;16;;15
2020-03-05;20;;23
2020-03-06;30;23;29
2020-03-07;43;30;34
2020-03-08;45;40;40
2020-03-09;60;51;49
2020-03-10;79;130;62
2020-03-11;113;203;101
2020-03-12;154;277;140
2020-03-13;225;370;163
2020-03-14;347;477;218
2020-03-15;430;566;250
2020-03-16;551;796;326
2020-03-17;705;1039;429
2020-03-18;857;1303;568
2020-03-19;1035;1513;679
2020-03-20;1204;1754;711
2020-03-21;1342;1873;919
2020-03-22;1445;1975;978
2020-03-23;1600;2281;1067
2020-03-24;1717;2546;1213
2020-03-25;1856;2738;1357
2020-03-26;2057;2943;1489
2020-03-27;2215;3177;1616
2020-03-28;2419;3308;1690
2020-03-29;2530;3393;1722
2020-03-30;2743;3605;1848
2020-03-31;2984;3764;1936
2020-04-01;3160;3916;2125
2020-04-02;3445;4050;2289
2020-04-03;3650;4185;2417
2020-04-04;3788;4257;2450
2020-04-05;3874;4296;2480
2020-04-06;3991;4415;2594
2020-04-07;4163;4495;2677
2020-04-08;4299;4586;2771
2020-04-09;4391;4683;2868
2020-04-10;4437;4731;2908
2020-04-11;4493;4771;2966
2020-04-12;4523;4808;2983
2020-04-13;4570;4852;3000
2020-04-14;4631;4919;3047
2020-04-15;4697;4968;3094
2020-04-16;4768;4997;3129
2020-04-17;4814;5029;3152
2020-04-18;4863;5047;3191
2020-04-19;4874;5058;3218
2020-04-20;4905;5090;3234
2020-04-21;4944;5121;3259
2020-04-22;4977;5142;3299
2020-04-23;5015;5173;3316
2020-04-24;5036;5195;3344
2020-04-25;5054;5208;3375
2020-04-26;5059;5216;3378
2020-04-27;5078;5234;3396
2020-04-28;5098;5256;3411
2020-04-29;5116;5270;3440
2020-04-30;5126;5283;3451
2020-05-01;5145;5300;3464
2020-05-02;5150;5309;3467
2020-05-03;5156;5315;3471
2020-05-04;5162;5323;3473
2020-05-05;5171;5334;3489
2020-05-06;5178;5354;3504
2020-05-07;5185;5359;3514
2020-05-08;5191;5370;3524
2020-05-09;5200;5377;3529
2020-05-10;5201;5378;3532
2020-05-11;5206;5385;3537
2020-05-12;5216;5395;3539
2020-05-13;5220;5404;3545
2020-05-14;5227;5409;3550
2020-05-15;5232;5413;3552
2020-05-16;5234;5413;3557
2020-05-17;5235;5415;3559
2020-05-18;5236;5419;3563
2020-05-19;5238;5423;3567
2020-05-20;5245;5427;3570
2020-05-21;5250;5427;3571
2020-05-22;5252;5431;3573
2020-05-23;5254;5437;3575
2020-05-24;5254;5439;3576
2020-05-25;5254;5439;3578
2020-05-26;5257;5442;3584
2020-05-27;5260;5444;3587
2020-05-28;5262;5446;3592
2020-05-29;5266;5449;3598
2020-05-30;5271;5450;3604
2020-05-31;5271;5451;3604
2020-06-01;5272;5451;3604
2020-06-02;5275;5455;3606
2020-06-03;5277;5457;3609
2020-06-04;5278;5460;3617
2020-06-05;5279;5462;3623
2020-06-06;5282;5464;3627
2020-06-07;5282;5466;3627
2020-06-08;5283;5467;3627
2020-06-09;5283;5470;3627
2020-06-10;5285;5471;3630
2020-06-11;5285;5475;3632
2020-06-12;5289;5482;3634
2020-06-13;5289;5482;3637
2020-06-14;5289;5483;3642
2020-06-15;5291;5486;3649
2020-06-16;5291;5494;3656
2020-06-17;5292;5499;3666
2020-06-18;5292;5501;3671
2020-06-19;5296;5507;3672
2020-06-20;5300;5509;3679
2020-06-21;5300;5511;3684
2020-06-22;5301;5522;3687
2020-06-23;5305;5528;3691
2020-06-24;5307;5537;3707
2020-06-25;5309;5540;3714
2020-06-26;5312;5546;3733
2020-06-27;5312;5548;3745
2020-06-28;5313;5556;3756
2020-06-29;5319;5572;3765
2020-06-30;5323;5588;3793
2020-07-01;5324;5597;3841
2020-07-02;5329;5622;3897
2020-07-03;5331;5635;3920
2020-07-04;5334;5638;3933
2020-07-05;5336;5645;3941
2020-07-06;5342;5658;3960
2020-07-07;5346;5674;3986
2020-07-08;5350;5689;4009
2020-07-09;5358;5701;4028
2020-07-10;5366;5715;4048
2020-07-11;5370;5724;4059
2020-07-12;5372;5730;4077
2020-07-13;5378;5743;4094
2020-07-14;5389;5762;4121
2020-07-15;5408;5778;4153
2020-07-16;5422;5791;4168
2020-07-17;5435;5807;4197
2020-07-18;5448;5817;4212
2020-07-19;5452;5823;4225
2020-07-20;5469;5836;4240
2020-07-21;5499;5842;4278
2020-07-22;5527;5853;4305
2020-07-23;5572;5864;4329
2020-07-24;5613;5879;4352
2020-07-25;5654;5891;4366
2020-07-26;5665;5898;4372
2020-07-27;5726;5919;4392
2020-07-28;5770;5946;4417
2020-07-29;5831;5986;4462
2020-07-30;5885;6008;4492
2020-07-31;5917;6027;4523
2020-08-01;5946;6054;4546
2020-08-02;5968;6067;4557
2020-08-03;6003;6086;4569
2020-08-04;6035;6100;4587
2020-08-05;6066;6119;4638
2020-08-06;6101;6137;4673
2020-08-07;6146;6159;4705
2020-08-08;6172;6175;4746
2020-08-09;6205;6181;4762
2020-08-10;6241;6206;4801
2020-08-11;6297;6231;4865
2020-08-12;6329;6255;4917
2020-08-13;6372;6293;4973
2020-08-14;6402;6317;5033
2020-08-15;6429;6342;5094
2020-08-16;6448;6360;5123
2020-08-17;6489;6394;5167
2020-08-18;6528;6437;5234
2020-08-19;6558;6484;5303
2020-08-20;6597;6559;5379
2020-08-21;6637;6622;5462
2020-08-22;6652;6666;5506
2020-08-23;6674;6697;5547
2020-08-24;6700;6765;5579
2020-08-25;6735;6831;5629
2020-08-26;6773;6895;5747
2020-08-27;6821;6970;5843
2020-08-28;6865;7050;5931
2020-08-29;6909;7110;5994
2020-08-30;6942;7157;6047
2020-08-31;6981;7249;6067
2020-09-01;7037;7345;6135
2020-09-02;7084;7441;6226
2020-09-03;7136;7560;6298
2020-09-04;7180;7696;6394
2020-09-05;7213;7793;6472
2020-09-06;7234;7852;6514
2020-09-07;7274;7974;6557
2020-09-08;7314;8091;6652
2020-09-09;7356;8236;6713
2020-09-10;7405;8415;6798
2020-09-11;7445;8592;6886
2020-09-12;7500;8683;6962
2020-09-13;7525;8784;7009
2020-09-14;7575;8912;7028
2020-09-15;7635;9071;7079
2020-09-16;7706;9142;7143
2020-09-17;7763;;7228
2020-09-18;;;7302
2020-09-19;;;
